CUSTOMER_ID;中文地址;英文地址
8374;花蓮縣新城鄉新城村新興路125號;No. 125, Xinxing Rd., Xincheng Township, Hualien County 971001, TW
7518;嘉義縣太保市嘉太工業區光復路2號;No. 2, Guangfu Rd., Jiatai Industrial Park, Taibao City, Chiayi County 612012, TW
513;雲林縣土庫鎮雙人厝;Shuangrencuo, Tuku Township, Yunlin County, TW
5333;22 第二批測試資料 22;129 Samseong Road, Maetan, Yeongtong District, Suwon City, Gyeonggi Province, KR
2677;22 第二批測試資料 22;129, Samseong-ro, Maetan-dong, Yeongtong-gu, Suwon-si, Gyeonggi-do, KR
1401;北京市朝陽區望京街88號A座12樓1205室, 北京 100020, 中國;12th Floor, Room 1205, Tower A, 88 Wangjing Street, Chaoyang District, Beijing City, Beijing Municipality 100020, CN
582;上海市浦東新區陸家嘴路500號B座5樓502室, 上海 200120, 中國;5th Floor, Room 502, Tower B, 500 Lujiazui Road, Pudong New Area, Shanghai City, Shanghai Municipality 200120, CN
6189;廣東省廣州市天河區珠江新城華利路10號C座3樓301室, 廣州 510623, 中國;3rd Floor, Room 301, Tower C, 10 Huali Road, Zhujiang New Town, Tianhe District, Guangzhou City, Guangdong Province 510623, CN
5468;江蘇省南京市鼓樓區中山北路200號D座8樓801室, 南京 210009, 中國;8th Floor, Room 801, Tower D, 200 Zhongshan North Road, Gulou District, Nanjing City, Jiangsu Province 210009, CN
1344;浙江省杭州市西湖區文三路150號E座6樓602室, 杭州 310013, 中國;6th Floor, Room 602, Tower E, 150 Wensan Road, Xihu District, Hangzhou City, Zhejiang Province 310013, CN
3577;四川省成都市武侯區科華北路50號F座9樓901室, 成都 610041, 中國;9th Floor, Room 901, Tower F, 50 Kehua North Road, Wuhou District, Chengdu City, Sichuan Province 610041, CN
6524;湖北省武漢市洪山區魯磨路88號G座11樓1105室, 武漢 430074, 中國;11th Floor, Room 1105, Tower G, 88 Lumo Road, Hongshan District, Wuhan City, Hubei Province 430074, CN
1719;湖南省長沙市雨花區曙光路20號H座7樓702室, 長沙 410013, 中國;7th Floor, Room 702, Tower H, 20 Shuguang Road, Yuhua District, Changsha City, Hunan Province 410013, CN
1383;福建省廈門市思明區湖濱東路30號I座4樓402室, 廈門 361001, 中國;4th Floor, Room 402, Tower I, 30 Hubin East Road, Siming District, Xiamen City, Fujian Province 361001, CN
1870;遼寧省大連市沙河口區中山路100號J座10樓1001室, 大連 116001, 中國;10th Floor, Room 1001, Tower J, 100 Zhongshan Road, Shahekou District, Dalian City, Liaoning Province 116001, CN
1530046035;美國紐約州紐約市第五大道350號;350 Fifth Avenue, New York, NY 10118, US
858269184;美國加利福尼亞州庫比蒂諾市無限環路1號;1 Infinite Loop Road, Cupertino, CA 95014, US
6669475541;美國西維吉尼亞州查爾斯頓市楓樹大道742號;742 Maple Avenue, Charleston, West Virginia 25302, US
7214;東京都豊島?東池袋1-50-35 池袋P'PARCO B1F;B1F, Ikebukuro P'PARCO, 1-50-35 Higashi-Ikebukuro, Toshima-ku, Tokyo, JP
7059;22 第二批測試資料 22;1-1 Chiyoda, Chiyoda-ku, Tokyo 100-0001, JP
1249;22 第二批測試資料 22;5-2 Odori Nishi 10-chome, Chuo-ku, Sapporo, Hokkaido 060-0042, JP
8706;22 第二批測試資料 22;3-4-15 Umeda, Kita-ku, Osaka, Osaka 530-0001, JP
7081;22 第二批測試資料 22;2-12-8 Sakae, Naka-ku, Nagoya, Aichi 460-0008, JP
