CUSTOMER_ID;ADDRESS_LINE_ORIGIN;ADDRESS_LINE_EN;ZIP;COUNTRY;CITY;DISTRICT;STREET;SEC;LANE;ALLEY;NUMBER;FLOOR;ROOM;BUILDING;VILLAGE;PROVINCE;STATE;OTHER;ERROR_MESSAGE;ADDRESS_LINE_REBUILD
8374;花蓮縣新城鄉新城村新興路125號;No. 125, Xinxing Rd., Xincheng Township, Hualien County 971001, TW;971001;TW;;;Xinxing Rd.;;;;125;;;;Xincheng Township;Hualien County;;;;125, Xinxing Rd., Xincheng Township, Hualien County, 971001, TW
7518;嘉義縣太保市嘉太工業區光復路2號;No. 2, Guangfu Rd., Jiatai Industrial Park, Taibao City, Chiayi County 612012, TW;612012;TW;Taibao City;Jiatai Industrial Park;Guangfu Rd.;;;;2;;;;;Chiayi County;;;;2, Guangfu Rd., Jiatai Industrial Park, Taibao City, Chiayi County, 612012, TW
513;雲林縣土庫鎮雙人厝;Shuangrencuo, Tuku Township, Yunlin County, TW;;TW;;;Shuangrencuo;;;;;;;;Tuku Township;Yunlin County;;;PLEASE ENTER POSTAL CODE.;Shuangrencuo, Tuku Township, Yunlin County, TW
5333;22 第二批測試資料 22;129 Samseong Road, Maetan, Yeongtong District, Suwon City, Gyeonggi Province, KR;;KR;Suwon City;Yeongtong District;Samseong Road;;;;129;;;;Maetan;Gyeonggi Province;;;PLEASE ENTER POSTAL CODE.;129, Samseong Road, Maetan, Yeongtong District, Suwon City, Gyeonggi Province, KR
2677;22 第二批測試資料 22;129, Samseong-ro, Maetan-dong, Yeongtong-gu, Suwon-si, Gyeonggi-do, KR;;KR;Suwon-si;Yeongtong-gu;Samseong-ro;;;;129;;;;Maetan-dong;Gyeonggi-do;;;PLEASE ENTER POSTAL CODE.;129, Samseong-ro, Maetan-dong, Yeongtong-gu, Suwon-si, Gyeonggi-do, KR
1401;北京市朝陽區望京街88號A座12樓1205室, 北京 100020, 中國;12th Floor, Room 1205, Tower A, 88 Wangjing Street, Chaoyang District, Beijing City, Beijing Municipality 100020, CN;100020;CN;Beijing City;Chaoyang District;Wangjing Street;;;;88;12;Room 1205;Tower A;;Beijing Municipality;;;;12 Floor, Room 1205, Tower A, 88, Wangjing Street, Chaoyang District, Beijing City, Beijing Municipality, 100020, CN
582;上海市浦東新區陸家嘴路500號B座5樓502室, 上海 200120, 中國;5th Floor, Room 502, Tower B, 500 Lujiazui Road, Pudong New Area, Shanghai City, Shanghai Municipality 200120, CN;200120;CN;Shanghai City;Pudong New Area;Lujiazui Road;;;;500;5;Room 502;Tower B;;Shanghai Municipality;;;;5 Floor, Room 502, Tower B, 500, Lujiazui Road, Pudong New Area, Shanghai City, Shanghai Municipality, 200120, CN
6189;廣東省廣州市天河區珠江新城華利路10號C座3樓301室, 廣州 510623, 中國;3rd Floor, Room 301, Tower C, 10 Huali Road, Zhujiang New Town, Tianhe District, Guangzhou City, Guangdong Province 510623, CN;510623;CN;Guangzhou City;Tianhe District;Huali Road;;;;10;3;Room 301;Tower C;Zhujiang New Town;Guangdong Province;;;;3 Floor, Room 301, Tower C, 10, Huali Road, Zhujiang New Town, Tianhe District, Guangzhou City, Guangdong Province, 510623, CN
5468;江蘇省南京市鼓樓區中山北路200號D座8樓801室, 南京 210009, 中國;8th Floor, Room 801, Tower D, 200 Zhongshan North Road, Gulou District, Nanjing City, Jiangsu Province 210009, CN;210009;CN;Nanjing City;Gulou District;Zhongshan North Road;;;;200;8;Room 801;Tower D;;Jiangsu Province;;;;8 Floor, Room 801, Tower D, 200, Zhongshan North Road, Gulou District, Nanjing City, Jiangsu Province, 210009, CN
1344;浙江省杭州市西湖區文三路150號E座6樓602室, 杭州 310013, 中國;6th Floor, Room 602, Tower E, 150 Wensan Road, Xihu District, Hangzhou City, Zhejiang Province 310013, CN;310013;CN;Hangzhou City;Xihu District;Wensan Road;;;;150;6;Room 602;Tower E;;Zhejiang Province;;;;6 Floor, Room 602, Tower E, 150, Wensan Road, Xihu District, Hangzhou City, Zhejiang Province, 310013, CN
