|    CIFKEY      |                                                                 ADDRESS_LINE_ORIGIN                                                                   |                                          ADDRESS_LINE_EN                                            |                                DEPARTMENT                                  |                              SUB DEPARTMENT                                |                                STREET NAME                                 |   BUILDING NUMBER    |             BUILDING NAME               |                                   FLOOR                                    |      POST BOX        |                                   ROOM                                     |      POST CODE       |               TOWN NAME                 |           TOWN LOCATION NAME            |             DISTRICT NAME               |          COUNTRY SUB DIVISION           |COUNTRY |                               ADDRESS LINE                                 |               OTHER                |             ERROR_MESSAGE               |                                        ADDRESS_LINE_REBUILD                                         |
|----------------|-------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------|-----------------------------------------|----------------------------------------------------------------------------|----------------------|----------------------------------------------------------------------------|----------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|--------|----------------------------------------------------------------------------|------------------------------------|-----------------------------------------|-----------------------------------------------------------------------------------------------------|
|8374            |花蓮縣新城鄉新城村新興路125號                                                                                                                          |No. 125, Xinxing Rd., Xincheng Township, Hualien County 971001, Taiwan (R.O.C.)                      |                                                                            |                                                                            |XINXING RD.                                                                 |NO. 125               |                                         |                                                                            |                      |                                                                            |971001                |                                         |                                         |XINCHENG TOWNSHIP                        |HUALIEN COUNTY                           |TW      |                                                                            |                                    |                                         |NO. 125, XINXING RD., XINCHENG TOWNSHIP, HUALIEN COUNTY, 971001, TW                                  |
|7518            |嘉義縣太保市嘉太工業區光復路2號                                                                                                                        |No. 2, Guangfu Rd., Jiatai Industrial Park, Taibao City, Chiayi County 612012, Taiwan (R.O.C.)       |                                                                            |                                                                            |GUANGFU RD.                                                                 |NO. 2                 |                                         |                                                                            |                      |                                                                            |612012                |                                         |TAIBAO CITY                              |JIATAI INDUSTRIAL PARK                   |CHIAYI COUNTY                            |TW      |                                                                            |                                    |                                         |NO. 2, GUANGFU RD., JIATAI INDUSTRIAL PARK, TAIBAO CITY, CHIAYI COUNTY, 612012, TW                   |
|513             |雲林縣土庫鎮雙人厝                                                                                                                                     |Shuangrencuo, Tuku Township, Yunlin County, Taiwan (R.O.C.)                                          |                                                                            |                                                                            |SHUANGRENCUO                                                                |                      |                                         |                                                                            |                      |                                                                            |                      |                                         |                                         |TUKU TOWNSHIP                            |YUNLIN COUNTY                            |TW      |                                                                            |                                    |PLEASE ENTER POSTAL CODE.                |SHUANGRENCUO, TUKU TOWNSHIP, YUNLIN COUNTY, TW                                                       |
|5333            |22 第二批測試資料 22                                                                                                                                   |129 Samseong Road, Maetan, Yeongtong District, Suwon City, Gyeonggi Province, South Korea            |                                                                            |                                                                            |SAMSEONG ROAD                                                               |129                   |                                         |                                                                            |                      |                                                                            |                      |MAETAN                                   |SUWON CITY                               |YEONGTONG DISTRICT                       |GYEONGGI PROVINCE                        |KR      |                                                                            |                                    |PLEASE ENTER POSTAL CODE.                |129, SAMSEONG ROAD, MAETAN, YEONGTONG DISTRICT, SUWON CITY, GYEONGGI PROVINCE, KR                    |
|2677            |22 第二批測試資料 22                                                                                                                                   |129, Samseong-ro, Maetan-dong, Yeongtong-gu, Suwon-si, Gyeonggi-do, South Korea                      |                                                                            |                                                                            |SAMSEONG-RO                                                                 |129                   |                                         |                                                                            |                      |                                                                            |                      |MAETAN-DONG                              |SUWON-SI                                 |YEONGTONG-GU                             |GYEONGGI-DO                              |KR      |                                                                            |                                    |PLEASE ENTER POSTAL CODE.                |129, SAMSEONG-RO, MAETAN-DONG, YEONGTONG-GU, SUWON-SI, GYEONGGI-DO, KR                               |
|1401            |北京市朝陽區望京街88號A座12樓1205室, 北京 100020, 中國                                                                                                 |12th Floor, Room 1205, Tower A, 88 Wangjing Street, Chaoyang District, Beijing City, Beijing Municip |                                                                            |                                                                            |WANGJING STREET                                                             |88                    |TOWER A                                  |12TH FLOOR                                                                  |                      |ROOM 1205                                                                   |100020                |                                         |BEIJING CITY                             |CHAOYANG DISTRICT                        |BEIJING MUNICIPALITY                     |CN      |                                                                            |                                    |                                         |ROOM 1205, 12TH FLOOR, TOWER A, 88, WANGJING STREET, CHAOYANG DISTRICT, BEIJING CITY, BEIJING MUNICI |
|582             |上海市浦東新區陸家嘴路500號B座5樓502室, 上海 200120, 中國                                                                                              |5th Floor, Room 502, Tower B, 500 Lujiazui Road, Pudong New Area, Shanghai City, Shanghai Municipali |                                                                            |                                                                            |LUJIAZUI ROAD                                                               |500                   |TOWER B                                  |5TH FLOOR                                                                   |                      |ROOM 502                                                                    |200120                |                                         |SHANGHAI CITY                            |PUDONG NEW AREA                          |SHANGHAI MUNICIPALITY                    |CN      |                                                                            |                                    |                                         |ROOM 502, 5TH FLOOR, TOWER B, 500, LUJIAZUI ROAD, PUDONG NEW AREA, SHANGHAI CITY, SHANGHAI MUNICIPAL |
|6189            |廣東省廣州市天河區珠江新城華利路10號C座3樓301室, 廣州 510623, 中國                                                                                     |3rd Floor, Room 301, Tower C, 10 Huali Road, Zhujiang New Town, Tianhe District, Guangzhou City, Gua |                                                                            |                                                                            |HUALI ROAD                                                                  |10                    |TOWER C                                  |3RD FLOOR                                                                   |                      |ROOM 301                                                                    |510623                |ZHUJIANG NEW TOWN                        |GUANGZHOU CITY                           |TIANHE DISTRICT                          |GUANGDONG PROVINCE                       |CN      |                                                                            |                                    |                                         |ROOM 301, 3RD FLOOR, TOWER C, 10, HUALI ROAD, ZHUJIANG NEW TOWN, TIANHE DISTRICT, GUANGZHOU CITY, GU |
|5468            |江蘇省南京市鼓樓區中山北路200號D座8樓801室, 南京 210009, 中國                                                                                          |8th Floor, Room 801, Tower D, 200 Zhongshan North Road, Gulou District, Nanjing City, Jiangsu Provin |                                                                            |                                                                            |ZHONGSHAN NORTH ROAD                                                        |200                   |TOWER D                                  |8TH FLOOR                                                                   |                      |ROOM 801                                                                    |210009                |                                         |NANJING CITY                             |GULOU DISTRICT                           |JIANGSU PROVINCE                         |CN      |                                                                            |                                    |                                         |ROOM 801, 8TH FLOOR, TOWER D, 200, ZHONGSHAN NORTH ROAD, GULOU DISTRICT, NANJING CITY, JIANGSU PROVI |
