CIFKEY;ADDRESS_LINE_ORIGIN;ADDRESS_LINE_EN;ERROR_MESSAGE
513;雲林縣土庫鎮雙人厝;Shuangrencuo, Tuku Township, Yunlin County, Taiwan (R.O.C.);PLEASE ENTER POSTAL CODE.
5333;22 第二批測試資料 22;129 Samseong Road, Maetan, Yeongtong District, Suwon City, Gyeonggi Province, South Korea;PLEASE ENTER POSTAL CODE.
2677;22 第二批測試資料 22;129, Samseong-ro, Maetan-dong, Yeongtong-gu, Suwon-si, Gyeonggi-do, South Korea;PLEASE ENTER POSTAL CODE.
7214;東京都豊島?東池袋1-50-35 池袋P'PARCO B1F;B1F, Ikebukuro P'PARCO, 1-50-35 Higashi-Ikebukuro, Toshima-ku, Tokyo, Japan;PLEASE ENTER POSTAL CODE.
4430;1 第一批測試資料 1;3759 Elm St, Rivertown, MI 91179;PLEASE ENTER COUNTRY.
1057;1 第一批測試資料 1;6806 Oak St, Hillcrest, OH 30159;PLEASE ENTER COUNTRY.
4894950860;***** For 'STATE' test data! *****;89 Hilltop Lane, Dadra and Nagar Haveli and Daman and Diu 396230, India;PLEASE ENTER CITY OR PROVINCE.
4894950860;***** For 'STATE' test data! *****;89 Hilltop Lane, DNHDD 396230, India;PLEASE ENTER CITY OR PROVINCE.
7338046995;***** For 'STATE' test data! *****;12 Island Road, Andaman and Nicobar Islands 744101, India;PLEASE ENTER CITY OR PROVINCE.
7338046995;***** For 'STATE' test data! *****;12 Island Road, AN 744101, India;PLEASE ENTER CITY OR PROVINCE.
875388202;***** CBPRPLUS測試資料 *****;Logistics, Warehouse A, Room 504, 5F Al Noor Tower, 789 Sheikh Zayed Rd, P.O. Box 2784, Al Wasl, Bur Dubai, Dubai Emirate, Dubai 0, United Arab Emirates;PLEASE ENTER POSTAL CODE.
;RESULT SUMMARY->;ERROR ITEMS:   11
